Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.0;1.7416810989379883;77;500;0.1820435707885307;0.29999999999999943;0.12196799328902246;0.5064935064935064;0.025974025974025976;0.012987012987012988;0.012987012987012988;0.03896103896103896;0.4025974025974026;0.05829596412556054;0.004484304932735426;0.0029895366218236174;0.0029895366218236174;0.01943198804185351;0.9118086696562033;0.10455764075067023;0.007648183556405354;0.004860267314702309;0.004860267314702309;0.025930851063829786;0.5585668079575832
0.05;1.7529549598693848;99;500;0.2260651552287578;0.29999999999999943;0.1576823230208299;0.46464646464646464;0.04040404040404041;0.010101010101010102;0.020202020202020204;0.030303030303030304;0.43434343434343436;0.0687593423019432;0.007473841554559043;0.0029895366218236174;0.007473841554559043;0.01943198804185351;0.8938714499252616;0.11979166666666669;0.012614317250078841;0.00461361014994233;0.010911074740861976;0.023679417122040074;0.5846150348418192
0.1;1.7794320583343506;102;500;0.23699689686339193;0.29687499999999944;0.17224879817856073;0.45098039215686275;0.0392156862745098;0.00980392156862745;0.0196078431372549;0.029411764705882353;0.45098039215686275;0.0687593423019432;0.007473841554559043;0.0029895366218236174;0.007473841554559043;0.01943198804185351;0.8938714499252616;0.11932555123216601;0.012554927809165095;0.004581901489117984;0.010822510822510822;0.023402340234023402;0.599498746867168
0.15000000000000002;1.7457630634307861;108;500;0.24819314431749995;0.2927083333333328;0.18754362979293895;0.42592592592592593;0.037037037037037035;0.009259259259259259;0.018518518518518517;0.027777777777777776;0.48148148148148145;0.0687593423019432;0.007473841554559043;0.0029895366218236174;0.007473841554559043;0.01943198804185351;0.8938714499252616;0.1184041184041184;0.012437810945273629;0.004519774011299435;0.010649627263045792;0.02286719437115215;0.6258503401360545
0.2;1.7487750053405762;122;500;0.2642994296652166;0.2843749999999995;0.203358322984292;0.39344262295081966;0.040983606557377046;0.01639344262295082;0.02459016393442623;0.03278688524590164;0.4918032786885246;0.07174887892376682;0.01046337817638266;0.004484304932735426;0.008968609865470852;0.02391629297458894;0.8804185351270553;0.12136536030341341;0.016670635865682307;0.00704225352112676;0.013143483023001097;0.027657735522904067;0.6310826979053197
0.25;1.7377538681030273;131;500;0.2701139262474191;0.2833333333333328;0.20991258957396572;0.37404580152671757;0.03816793893129771;0.022900763358778626;0.022900763358778626;0.04580152671755725;0.4961832061068702;0.07324364723467862;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.026905829596412557;0.8714499252615845;0.12249999999999998;0.01642421398404505;0.012889366272824918;0.012889366272824918;0.03389830508474576;0.6323315923843215
0.30000000000000004;1.8710088729858398;132;500;0.27099533650382934;0.2833333333333328;0.21100385941523556;0.3712121212121212;0.03787878787878788;0.022727272727272728;0.030303030303030304;0.045454545454545456;0.49242424242424243;0.07324364723467862;0.01046337817638266;0.008968609865470852;0.01195814648729447;0.02391629297458894;0.8714499252615845;0.12234706616729087;0.01639728273600375;0.012861736334405145;0.01714898177920686;0.03134182174338883;0.6292707632782856
0.35000000000000003;1.7325429916381836;148;500;0.28264820331294616;0.2791666666666662;0.21646346822962373;0.3716216216216216;0.04054054054054054;0.02027027027027027;0.033783783783783786;0.04054054054054054;0.49324324324324326;0.08221225710014948;0.01046337817638266;0.008968609865470852;0.007473841554559043;0.02242152466367713;0.8684603886397608;0.1346389228886169;0.016633663366336635;0.012435233160621761;0.012239902080783353;0.028873917228103948;0.6291563137400334
0.4;2.3100948333740234;156;500;0.28852076391280546;0.2781249999999995;0.22072277510597352;0.3525641025641026;0.038461538461538464;0.019230769230769232;0.038461538461538464;0.04487179487179487;0.5064102564102564;0.08221225710014948;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.02092675635276532;0.8684603886397608;0.13333333333333333;0.01645123384253819;0.012232415902140675;0.014545454545454547;0.028542303771661573;0.6397652749029529
0.45;2.0637319087982178;157;500;0.28852076391280546;0.2781249999999995;0.22088724879018404;0.3503184713375796;0.03821656050955414;0.01910828025477707;0.03821656050955414;0.050955414012738856;0.5031847133757962;0.08221225710014948;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.02092675635276532;0.8684603886397608;0.13317191283292978;0.01642871112849599;0.012207527975584944;0.014527845036319613;0.029668874172185434;0.6371852180914569
0.5;2.0487799644470215;189;500;0.3060703670874086;0.27604166666666613;0.22802295451963978;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
0.55;2.251939058303833;189;500;0.3060703670874086;0.27604166666666613;0.22802295451963978;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
0.6000000000000001;2.284403085708618;190;500;0.3060703670874086;0.27604166666666613;0.2284048989640842;0.3105263157894737;0.03684210526315789;0.015789473684210527;0.03684210526315789;0.042105263157894736;0.5578947368421052;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13736903376018625;0.014425553838227717;0.010145417653026716;0.00799543118218161;0.027958062905641536;0.6798241264174022
0.65;2.1759450435638428;190;500;0.3060703670874086;0.27604166666666613;0.2284048989640842;0.3105263157894737;0.03684210526315789;0.015789473684210527;0.03684210526315789;0.042105263157894736;0.5578947368421052;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13736903376018625;0.014425553838227717;0.010145417653026716;0.00799543118218161;0.027958062905641536;0.6798241264174022
0.7000000000000001;2.284933090209961;205;500;0.3098550893096308;0.27604166666666613;0.2295291219633072;0.28780487804878047;0.03902439024390244;0.01951219512195122;0.04390243902439024;0.03414634146341464;0.5756097560975609;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13501144164759724;0.014585232452142206;0.010807889759524451;0.0081374321880651;0.025949953660797036;0.6928152048907451
0.75;2.188796043395996;213;500;0.3098550893096308;0.27499999999999947;0.22912508155926678;0.27699530516431925;0.046948356807511735;0.018779342723004695;0.04225352112676056;0.03286384976525822;0.5821596244131455;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13378684807256236;0.015060240963855422;0.010692328254477412;0.008108108108108109;0.025570776255707764;0.6975382028010555
0.8;2.448927879333496;215;500;0.3098550893096308;0.27499999999999947;0.22934829584498106;0.2744186046511628;0.046511627906976744;0.018604651162790697;0.04186046511627907;0.03255813953488372;0.586046511627907;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1334841628959276;0.015037593984962407;0.010663822980538522;0.008100810081008101;0.025477707006369428;0.7003208801283519
0.8500000000000001;1.8313531875610352;216;500;0.3099939781985196;0.27499999999999947;0.22954670854339376;0.27314814814814814;0.046296296296296294;0.018518518518518517;0.041666666666666664;0.037037037037037035;0.5833333333333334;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13333333333333333;0.015026296018031555;0.010649627263045792;0.008097165991902834;0.026743075453677174;0.698380046284392
0.9;1.857395887374878;216;500;0.3099939781985196;0.27499999999999947;0.22954670854339376;0.27314814814814814;0.046296296296296294;0.018518518518518517;0.041666666666666664;0.037037037037037035;0.5833333333333334;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13333333333333333;0.015026296018031555;0.010649627263045792;0.008097165991902834;0.026743075453677174;0.698380046284392
0.9500000000000001;2.1502161026000977;216;500;0.3099939781985196;0.27499999999999947;0.22954670854339376;0.27314814814814814;0.046296296296296294;0.018518518518518517;0.041666666666666664;0.037037037037037035;0.5833333333333334;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13333333333333333;0.015026296018031555;0.010649627263045792;0.008097165991902834;0.026743075453677174;0.698380046284392
1.0;2.1822869777679443;500;500;0.3099939781985196;0.27499999999999947;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
